ano;mes;ONI;FMA_PSN;Cerrado_PSN;Caatinga_PSN;FMA_Evap;Cerrado_Evap;Caatinga_Evap;FMA_PET;Cerrado_PET;Caatinga_PET;FMA_IDA;Cerrado_IDA;Caatinga_IDA;FMA_Temp;Cerrado_Temp;Caatinga_Temp;FMA_Precip;Cerrado_Precip;Caatinga_Precip;FMA_AreaQueimada;Cerrado_AreaQueimada;Caatinga_AreaQueimada
2004;9;0,58;155,4196;34,365;58,8247;85,4719;26,9462;27,1062;202,992;256,7623;239,6865;0,4211;0,1049;0,1131;29,05;37,5563;34,7306;25,7169;0,7953;6,0288;3025,0;422525,0;41875,0
2004;10;0,61;142,589;55,456;51,3049;91,6222;44,6731;30,6431;225,606;247,454;254,378;0,4061;0,1805;0,1205;31,4872;38,7299;38,2636;62,1513;81,8545;33,0446;6250,0;233825,0;54575,0
2004;11;0,64;142,374;71,0772;70,2078;110,2973;67,1605;56,2331;220,7718;226,8747;240,4045;0,4996;0,296;0,2339;31,6182;36,2695;36,7388;157,2728;149,104;122,9948;5150,0;40975,0;27075,0
2004;12;0,71;145,3281;94,0694;83,1042;109,9877;81,836;73,0433;219,6395;205,5504;226,44;0,5008;0,3981;0,3226;30,9165;32,51;33,9869;57,6532;124,9797;33,5088;5450,0;28000,0;7950,0
2005;1;0,62;137,7377;110,2379;82,748;104,6752;97,7749;74,7744;216,484;194,1116;217,9142;0,4835;0,5037;0,3431;32,282;31,857;34,3983;121,0746;211,6025;132,0573;2850,0;1600,0;1600,0
2005;2;0,55;142,454;145,6418;120,1886;123,3848;124,7237;104,5103;215,9972;210,3637;223,6065;0,5712;0,5929;0,4674;31,2282;29,1082;30,7817;187,8383;219,4835;174,0527;400,0;1000,0;0,0
2005;3;0,4;150,1692;129,3932;129,6457;124,4835;120,785;110,5949;221,5313;196,0463;222,9056;0,5619;0,6161;0,4962;29,0591;28,1024;29,9611;109,7201;242,1329;101,0266;1575,0;8000,0;800,0
2005;4;0,37;145,3732;147,4452;137,6812;121,9773;112,7854;107,6311;193,8105;195,3454;204,9932;0,6294;0,5774;0,525;26,5794;29,2627;28,5159;149,6536;74,8303;84,6311;0,0;10550,0;1175,0
2005;5;0,27;138,4025;143,8221;135,8446;106,5329;90,777;89,7653;159,9334;170,8024;175,0539;0,6661;0,5315;0,5128;25,1194;27,4559;26,6068;156,5772;45,8988;64,8799;550,0;12075,0;775,0
2005;6;0,09;135,3305;124,809;115,1956;99,2331;70,7962;65,7242;142,5428;165,0391;166,7744;0,6962;0,429;0,3941;23,9328;28,1057;27,1074;156,7894;1,0213;37,1979;0,0;17675,0;2050,0
2005;7;-0,04;146,6827;111,0503;104,3517;91,941;48,402;51,1071;143,7704;186,092;173,6808;0,6395;0,2601;0,2943;23,9813;29,4189;27,9058;90,245;0,3744;26,5102;75,0;27550,0;3575,0
2005;8;-0,14;153,4524;74,434;83,1827;95,6344;35,4401;39,7504;172,763;227,951;207,4345;0,5536;0,1555;0,1916;24,7206;33,2056;30,7955;83,6827;0,4688;20,1735;575,0;114825,0;8300,0
2005;9;-0,11;152,1399;41,3027;59,2614;98,6851;30,9751;31,8489;203,5745;258,7895;243,0132;0,4848;0,1197;0,1311;27,9921;36,3813;35,0442;52,1534;25,5568;12,5403;1375,0;280475,0;29250,0
